NAME ,          Z , file    , begin_geo , begin_file          , end_geo , end_file            , surveyed_center ,
DL1  ,   0.799906 , fort.30 ,           ,                     ,         ,                     ,                 ,
Q1   ,       0.25 , fort.31 , points    , q1_chamber.csv      , points  , q1_chamber.csv      ,                 ,
DL2  ,   0.191104 , fort.32 , points    , q1_chamber.csv      ,         ,                     ,                 ,
Q2   ,     0.2979 , fort.33 , points    , q2_chamber.csv      , points  , q2_chamber.csv      ,                 ,
DL3  ,   0.580965 , fort.34 ,           ,                     ,         ,                     ,                 ,
B1   ,  0.4911237 , fort.35 ,           ,                     ,         ,                     ,                 ,
DL4  ,   0.999742 , fort.36 ,           ,                     ,         ,                     ,                 ,
B2   ,  0.4911378 , fort.37 ,           ,                     ,         ,                     ,                 ,
DL5  ,   0.769867 , fort.38 ,           ,                     ,         ,                     ,                 ,
DL6  ,   0.399973 , fort.39 ,           ,                     ,         ,                     ,                 ,
HEX1 ,       0.26 , fort.40 , points    , hex1_q3_chamber.csv , points  , hex1_q3_chamber.csv ,                 ,
DL7  ,   0.270114 , fort.41 , points    , hex1_q3_chamber.csv , points  , hex1_q3_chamber.csv ,                 ,
Q3   ,     0.3499 , fort.42 , points    , hex1_q3_chamber.csv , points  , hex1_q3_chamber.csv ,                 ,
DL8  ,   0.351643 , fort.43 ,           ,                     , points  , q4_chamber.csv      ,                 ,
Q4   ,     0.3467 , fort.44 , points    , q4_chamber.csv      , points  , q4_chamber.csv      ,                 ,
DL9  ,   0.213339 , fort.45 ,           ,                     ,         ,                     ,                 ,
Q5   ,     0.3466 , fort.46 , circle    , q5_chamber.csv      , circle  , q5_chamber.csv      ,                 ,
DL10 ,   0.146731 , fort.47 ,           ,                     ,         ,                     ,                 ,
DL11 ,      0.185 , fort.48 ,           ,                     ,         ,                     ,                 ,
DL12 ,    0.16965 , fort.49 ,           ,                     ,         ,                     ,                 ,
B3   ,  0.4915742 , fort.50 , points    , B3_entrance.csv     ,         ,                     ,                 ,
DL13 ,    0.50685 , fort.51 ,           ,                     ,         ,                     ,                 ,
B4   ,  0.4926345 , fort.52 , points    , B4_entrance.csv     , points  , B4_exit.csv         ,                 ,
DL14 ,   0.299023 , fort.53 ,           ,                     ,         ,                     ,                 ,
HEX2 ,       0.26 , fort.54 , points    , Hex2.csv            , points  , Hex2.csv            ,                 ,
DL15 ,   0.270097 , fort.55 ,           ,                     ,         ,                     ,                 ,
DL16 ,   0.270107 , fort.56 ,           ,                     ,         ,                     ,                 ,
Q6   ,     0.3398 , fort.57 , points    , q6_q7.csv           , points  , q6_q7.csv           ,                 ,
DL17 ,   0.200109 , fort.58 ,           ,                     ,         ,                     ,                 ,
Q7   ,     0.3401 , fort.59 , points    , q6_q7.csv           , points  , q6_q7.csv           ,                 ,
DL18 ,   0.499884 , fort.60 ,           ,                     ,         ,                     ,                 ,
WF1  ,      2.365 , fort.61 ,           ,                     ,         ,                     ,                 ,
DL19 ,   0.500088 , fort.62 ,           ,                     ,         ,                     ,                 ,
HEX3 ,       0.26 , fort.63 , points    , Hex3.csv            , points  , Hex3.csv            ,                 ,
DL20 ,   0.279901 , fort.64 ,           ,                     ,         ,                     ,                 ,
OCT1 ,       0.26 , fort.65 ,           ,                     ,         ,                     ,                 ,
DL21 ,   1.750011 , fort.66 ,           ,                     ,         ,                     ,                 ,
DL22 ,    0.87212 , fort.67 ,           ,                     ,         ,                     ,                 ,
Q8   ,       0.25 , fort.68 , points    , q8_chamber.csv      , points  , q8_chamber.csv      ,                 ,
DL23 ,   0.394857 , fort.69 ,           ,                     ,         ,                     ,                 ,
