X,Y,Z
0.624149244,-0.897324272,0
0.681805389,0.330811128,0
0.681805389,1.576080939,0
0.681805389,2.821350749,0
0.681805389,4.066630547,0
-0.114576355,4.990487805,0
-0.995115082,5.871026533,0
-2.012761716,6.440998495,0
-3.089402639,6.013449215,0
-3.969941638,5.132910216,0
-4.850482702,4.252369152,0
-4.908745792,3.022765654,0
-4.908745792,1.777495843,0
-4.908745792,0.532226033,0
-4.908745792,-0.713053761,0
-4.111755122,-1.636658797,0
-3.231216394,-2.517197524,0
-2.213317526,-3.08656056,0
-1.13692821,-2.658401726,0
-0.256389484,-1.777862999,0
-4.908745792,4.112177774,0
-4.902429297,4.162034219,0
-4.886780272,4.202930332,0
-4.868265808,4.232143761,0
-2.724192576,6.378659278,0
-2.696090835,6.403352664,0
-2.665923423,6.421408699,0
-2.627530402,6.435252281,0
-2.579326833,6.440998495,0
-1.652065765,6.440998495,0
-1.615971065,6.438597079,0
-1.574989964,6.427501526,0
-1.544388764,6.412367599,0
-1.516325166,6.391701456,0
-1.497881136,6.373792587,0
0.627039297,4.248810862,0
0.651361363,4.21772973,0
0.66910597,4.182127259,0
0.679867472,4.140121613,0
0.681805389,4.102963258,0
0.681805389,-0.72282229,0
0.681600533,-0.777317053,0
0.675548688,-0.819024161,0
0.655632186,-0.861528235,0
0.640718765,-0.880201544,0
0.669134062,-0.836809226,0
-1.494555066,-3.016028582,0
-1.50526104,-3.026734556,0
-1.521146087,-3.041384432,0
-1.535607975,-3.052268663,0
-1.55014685,-3.061296924,0
-1.570456811,-3.071227279,0
-1.58543028,-3.076807108,0
-1.600756078,-3.081141893,0
-1.621533458,-3.084954845,0
-1.637669562,-3.08635674,0
-1.662092198,-3.08656056,0
-2.53147883,-3.08656056,0
-2.595463737,-3.085976824,0
-2.626711812,-3.081014732,0
-2.664934757,-3.067444849,0
-2.693357476,-3.050867028,0
-2.716689721,-3.031668198,0
-2.753313338,-2.99510058,0
-4.845218985,-0.903194934,0
-4.875253696,-0.867966921,0
-4.895952372,-0.827937674,0
-4.907357343,-0.781468952,0
-4.908745792,-0.739009398,0
