X,Y,Z
-4.765755314,0.624843126,0
-4.165825288,-0.024179631,0
-3.534775344,-0.655229575,0
-2.751014123,-0.92986538,0
-1.858573356,-0.92986538,0
-1.063473205,-0.682597417,0
-0.432423261,-0.051547473,0
0.188645391,0.586822693,0
0.194874607,1.478576355,0
0.194874607,2.37101575,0
0.194874607,3.263455142,0
-0.405053668,3.912478616,0
-1.036103612,4.54352856,0
-1.819864105,4.818166116,0
-2.712304875,4.818166116,0
-3.50740575,4.570899905,0
-4.138455694,3.939849961,0
-4.759528452,3.301471087,0
-4.765755314,2.409721905,0
-4.765755314,1.517282516,0
-4.765755314,3.233746404,0
-4.765755314,3.26362748,0
-4.764654005,3.279719056,0
-4.75359177,3.315832138,0
-4.742766332,3.333641586,0
-3.279615075,4.796345481,0
-3.263344956,4.806040174,0
-3.240386789,4.814507322,0
-1.343597502,4.81706825,0
-1.325963488,4.813256151,0
-1.306415348,4.805481711,0
-1.290358669,4.795694757,0
0.169383514,3.336919513,0
0.17753665,3.325230853,0
0.183508786,3.314180993,0
0.188284206,3.302529334,0
0.192994196,3.284619278,0
0.194667323,0.617678848,0
0.193177203,0.604721305,0
0.191792773,0.597868509,0
0.185024738,0.577453337,0
0.179931493,0.567170451,0
0.174351595,0.558139344,0
0.170259727,0.552502305,0
-1.28446389,-0.902831852,0
-1.296129022,-0.911320854,0
-1.307208349,-0.917577775,0
-1.317649422,-0.922139928,0
-1.330286505,-0.926153522,0
-1.345835602,-0.929053065,0
-3.22296653,-0.929279477,0
-3.237377189,-0.926931771,0
-3.247518066,-0.924148369,0
-3.261213678,-0.918761348,0
-3.270034787,-0.91417808,0
-3.280447726,-0.907447828,0
-3.291008095,-0.898837619,0
-4.740208482,0.551310841,0
-4.749983085,0.565707502,0
-4.756660618,0.579223945,0
-4.762350037,0.596516546,0
-4.765094209,0.612194093,0
